treatment,control,n_obs,r_squared,pre_coef,pre_se,pre_pval,flood_coef,flood_se,flood_pval,post_coef,post_se,post_pval
Accommodation,Residential,244.0,0.8164544020656852,0.20082883960219972,0.11076684482324932,0.0698199169456575,0.017433639041492394,0.06775217357751005,0.7969357449413303,0.43932351661763736,0.14086489165347027,0.0018161502200051216
Education,Residential,244.0,0.2671752812340912,-0.04955056010261294,0.09009582603308,0.5823356973155913,-0.04537493090168013,0.060967807164597654,0.45672881153487466,0.22111453011591364,0.12120414667656677,0.06810447985923272
Energy & Storage,Residential,244.0,0.7433453048907881,0.12374830242378898,0.1894240626935598,0.5135711873887574,0.11696787492682142,0.08752985088977498,0.18144475967169238,0.13297182394998616,0.11739040545128285,0.25732697547867855
Entertainment,Residential,244.0,0.7676341443262218,-0.031162176731865887,0.10318421242194743,0.7626480396378643,0.13801926700894634,0.08359532351116886,0.09873029980247676,0.15967574366862883,0.12968765624049358,0.218235670060398
Financial & Professional,Residential,244.0,0.7806416356194857,0.013805626456584258,0.17606363863795896,0.9374997661704434,-0.1295134023038658,0.10323952600852693,0.20966237727491366,-0.04197562025494225,0.1619536312954457,0.7954940840827619
Healthcare & Medical,Residential,244.0,0.6897022004800022,0.17034540555261224,0.18003793136941487,0.34406495535693904,0.351464189663714,0.08405256000411045,2.8961634998631252e-05,0.39211796660763126,0.1270942047813604,0.0020337804869102753
Outdoor Recreation,Residential,244.0,0.8959382963099228,0.3297858959233192,0.14573460759587517,0.023640563013723977,-0.1664539888160082,0.09508164924959986,0.08000748671794526,-0.0343197228103444,0.13317711834261797,0.7966385654135721
Public agencies,Residential,244.0,0.39367479635341573,-0.18566351871803016,0.3983496050624144,0.6411569181870937,0.26737743594918006,0.16284889191011678,0.10061602444701864,0.3259225233228327,0.18163466774236178,0.07275173938691484
Retail & Shopping,Residential,244.0,0.16621489976403114,-0.04111850892514979,0.16639834622631136,0.8048239617706068,0.16167910907566227,0.07390872129619097,0.02870231268478143,0.2858586990525604,0.10036363656503633,0.004396316922164669
Transportation,Residential,244.0,0.6211105298298529,-0.13106983890426305,0.1242636045872877,0.291529362397304,-0.15658385425457472,0.08621520942015294,0.0693400699950613,-0.08526844264415429,0.10994014775022193,0.4379913030424274
